created_at,tweet_text,hashtags
2022-11-06 22:10:52,"I donnae respond well tae mentally healthy people spouting platitudes like all we need tae be like them is tae stop being depressed.  I'm glad you donnae live in my world, there are monsters there, but donnae presume that you can fix that. #depression #SuicideAwareness","[{'text': 'depression', 'indices': [240, 251]}, {'text': 'SuicideAwareness', 'indices': [252, 269]}]"
2022-11-06 22:03:58,"RT @Kevin_Cage_: Here's an old picture of him a few years before the incident.

Since then, #SuicideAwareness is a big part of my life. I d…","[{'text': 'SuicideAwareness', 'indices': [92, 109]}]"
2022-11-06 21:39:07,"RT @reputationlearn: Change your thoughts and you can change your world.

#ThinkBIGSundayWithMarsha  #EndViolence #EliminateBullyingBasedVi…","[{'text': 'ThinkBIGSundayWithMarsha', 'indices': [74, 99]}, {'text': 'EndViolence', 'indices': [101, 113]}]"
2022-11-06 21:34:13,"RT @reputationlearn: Change your thoughts and you can change your world.

#ThinkBIGSundayWithMarsha  #EndViolence #EliminateBullyingBasedVi…","[{'text': 'ThinkBIGSundayWithMarsha', 'indices': [74, 99]}, {'text': 'EndViolence', 'indices': [101, 113]}]"
2022-11-06 21:33:52,"RT @pgockley: The best way to get along is never to forgive an enemy or forget a friend.

#ThinkBIGSundayWithMarsha  #EndViolence #Eliminat…","[{'text': 'ThinkBIGSundayWithMarsha', 'indices': [90, 115]}, {'text': 'EndViolence', 'indices': [117, 129]}]"
2022-11-06 21:13:59,"RT @TarrantCMS: ""It's Not Okay"" -  TCMS President @drshannacombs on the tragic reality of physician suicide and changes that must be made f…",[]
2022-11-06 21:10:59,RT @MasonMindful: 33% of college students in US had seriously considered SUICIDE and it is the 12th leading cause of death of college age s…,[]
2022-11-06 21:10:45,RT @MasonMindful: Attention Patriots! Have you heard about 988 Lifeline? Suicide is not one and only way to solve your problem. If you need…,[]
2022-11-06 21:05:44,"Change your thoughts and you can change your world.

#ThinkBIGSundayWithMarsha  #EndViolence #EliminateBullyingBasedViolence #SuicideAwareness #bullying #awareness #mentalhealth #humanity https://t.co/U1CGTy9M1H","[{'text': 'ThinkBIGSundayWithMarsha', 'indices': [53, 78]}, {'text': 'EndViolence', 'indices': [80, 92]}, {'text': 'EliminateBullyingBasedViolence', 'indices': [93, 124]}, {'text': 'SuicideAwareness', 'indices': [125, 142]}, {'text': 'bullying', 'indices': [143, 152]}, {'text': 'awareness', 'indices': [153, 163]}, {'text': 'mentalhealth', 'indices': [164, 177]}, {'text': 'humanity', 'indices': [178, 187]}]"
2022-11-06 21:04:54,"The best way to get along is never to forgive an enemy or forget a friend.

#ThinkBIGSundayWithMarsha  #EndViolence #EliminateBullyingBasedViolence #SuicideAwareness #bullying #awareness #mentalhealth #humanity https://t.co/qVxaTAIHkt","[{'text': 'ThinkBIGSundayWithMarsha', 'indices': [76, 101]}, {'text': 'EndViolence', 'indices': [103, 115]}, {'text': 'EliminateBullyingBasedViolence', 'indices': [116, 147]}, {'text': 'SuicideAwareness', 'indices': [148, 165]}, {'text': 'bullying', 'indices': [166, 175]}, {'text': 'awareness', 'indices': [176, 186]}, {'text': 'mentalhealth', 'indices': [187, 200]}, {'text': 'humanity', 'indices': [201, 210]}]"
2022-11-06 20:59:39,"RT @PrematureTantie: Staying alive becomes so challenging when you're suicidal. 

Even when you don't have a plan to commit suicide, your m…",[]
2022-11-06 20:58:39,RT @MariaLgbtys: 🕯I was approached by a young person @LGBTYS asking if we could schedule a night to talk about suicide prevention &amp; remembe…,[]
2022-11-06 20:44:54,RT @MasonMindful: 33% of college students in US had seriously considered SUICIDE and it is the 12th leading cause of death of college age s…,[]
2022-11-06 20:42:53,"33% of college students in US had seriously considered SUICIDE and it is the 12th leading cause of death of college age students. Increase your awareness about the seriousness of suicide!
#SuicidePrevention #SuicideAwareness #connect2hope #988Lifeline #mindfulmason #MimsPR https://t.co/ap7ipsDhXZ","[{'text': 'SuicidePrevention', 'indices': [188, 206]}, {'text': 'SuicideAwareness', 'indices': [207, 224]}, {'text': 'connect2hope', 'indices': [225, 238]}, {'text': '988Lifeline', 'indices': [239, 251]}, {'text': 'mindfulmason', 'indices': [252, 265]}, {'text': 'MimsPR', 'indices': [266, 273]}]"
2022-11-06 20:39:16,"RT @PTSDorMe: B/c I’ve gone that far
B/c I have done that 
B/c I’ve crossed that line
B/c I’ve gone that black 

These pushups are 4 me
B/c…",[]
